(-1367.2, 19.2, -496.9) (0.0, 0.0, 0.0, 1.0)
(-1318.3, 19.2, -487.9) (0.0, -0.1, 0.0, 1.0)
(-1414.1, 19.2, -499.3) (0.0, 0.0, 0.0, 1.0)
(-1364.4, 19.2, -563.3) (0.0, 0.0, 0.0, 1.0)
(-1310.5, 19.2, -567.5) (0.0, 0.0, 0.0, 1.0)
(-1420.5, 19.2, -562.7) (0.0, 0.0, 0.0, 1.0)
(-1324.9, 19.2, -531.2) (0.0, 0.0, 0.0, 1.0)
(-1604.0, 19.2, -467.0) (0.0, 0.0, 0.0, 1.0)
(-1562.0, 19.2, -432.0) (0.0, 0.0, 0.0, 1.0)
(-1549.0, 19.2, -459.0) (0.0, 0.0, 0.0, 1.0)
(-1494.2, 19.2, -458.5) (0.0, 0.0, 0.0, 1.0)
(-1501.2, 19.2, -425.8) (0.0, 0.0, 0.0, 1.0)
(-1624.0, 19.2, -434.0) (0.0, 0.0, 0.0, 1.0)
(-1564.0, 19.2, -375.0) (0.0, 0.0, 0.0, 1.0)
(-1509.0, 19.2, -379.0) (0.0, 0.0, 0.0, 1.0)
(-1618.0, 19.2, -376.0) (0.0, 0.0, 0.0, 1.0)
(-1659.0, 19.2, -464.0) (0.0, 0.0, 0.0, 1.0)
(-1668.0, 19.2, -402.0) (0.0, -0.3, 0.0, 1.0)
(-1696.0, 19.2, -447.0) (0.0, -0.7, 0.0, 0.7)
(-1222.2, 19.2, -279.7) (0.0, -0.1, 0.0, 1.0)
(-1268.5, 19.2, -289.6) (0.0, -0.1, 0.0, 1.0)
(-1228.5, 19.2, -250.4) (0.0, -0.1, 0.0, 1.0)
(-1274.8, 19.2, -260.3) (0.0, -0.1, 0.0, 1.0)
(-1275.0, 19.2, -227.3) (0.0, -0.1, 0.0, 1.0)
(-1228.8, 19.2, -216.6) (0.0, -0.1, 0.0, 1.0)
(-1274.9, 19.2, -197.5) (0.0, -0.1, 0.0, 1.0)
(-1228.9, 19.2, -186.0) (0.0, -0.1, 0.0, 1.0)
(-1269.4, 19.2, -167.7) (0.0, -0.1, 0.0, 1.0)
(-1224.6, 19.2, -150.7) (0.0, -0.1, 0.0, 1.0)
(-1178.1, 19.2, -137.0) (0.0, -0.1, 0.0, 1.0)
(-1230.9, 19.2, -121.3) (0.0, -0.1, 0.0, 1.0)
(-1277.6, 19.2, -129.6) (0.0, -0.1, 0.0, 1.0)
(-1185.1, 19.2, -104.5) (0.0, -0.1, 0.0, 1.0)
(-1227.3, 19.2, -80.4) (0.0, -0.2, 0.0, 1.0)
(-1271.2, 19.2, -96.6) (0.0, -0.2, 0.0, 1.0)
(-1181.1, 19.2, -61.4) (0.0, -0.2, 0.0, 1.0)
(-1226.4, 19.2, -41.9) (0.0, -0.2, 0.0, 1.0)
(-1270.4, 19.2, -57.4) (0.0, -0.2, 0.0, 1.0)
(-1179.3, 19.2, -25.7) (0.0, -0.2, 0.0, 1.0)
(-1387.3, 19.2, -106.7) (0.0, -0.2, 0.0, 1.0)
(-1434.8, 19.2, -115.5) (0.0, -0.1, 0.0, 1.0)
(-1340.9, 19.2, -87.2) (0.0, -0.2, 0.0, 1.0)
(-1343.4, 19.2, -138.0) (0.0, 0.0, 0.0, 1.0)
(-1397.1, 19.2, -142.2) (0.0, 0.0, 0.0, 1.0)
(-1347.0, 19.2, -176.9) (0.0, 0.0, 0.0, 1.0)
(-1394.4, 19.2, -182.9) (0.0, 0.0, 0.0, 1.0)
(-1391.7, 19.2, -208.8) (0.0, 0.0, 0.0, 1.0)
(-1344.2, 19.2, -207.6) (0.0, 0.0, 0.0, 1.0)
(-1391.1, 19.2, -238.3) (0.0, 0.0, 0.0, 1.0)
(-1343.6, 19.2, -238.1) (0.0, 0.0, 0.0, 1.0)
(-1390.4, 19.2, -272.8) (0.0, 0.0, 0.0, 1.0)
(-1342.6, 19.2, -271.0) (0.0, 0.0, 0.0, 1.0)
(-1387.8, 19.2, -302.4) (0.0, 0.0, 0.0, 1.0)
(-1340.0, 19.2, -300.6) (0.0, 0.0, 0.0, 1.0)
(-1434.0, 19.2, -289.0) (0.0, 0.7, 0.0, 0.7)
(-1435.0, 19.2, -223.0) (0.0, 0.7, 0.0, 0.7)
(-1436.0, 19.2, -169.0) (0.0, 0.7, 0.0, 0.7)
(-1186.0, 19.2, -261.0) (0.0, 0.7, 0.0, 0.7)
(-1176.8, 19.2, -194.6) (0.0, 0.7, 0.0, 0.7)
(-1131.0, 19.2, -364.0) (0.0, 0.6, 0.0, 0.8)
